[03-13 11:48:29] User: 1mperfect | Command: randomowcharacter
[03-13 11:48:36] User: 1mperfect | Command: randomrolequeue
[03-13 11:49:07] User: 1mperfect | Command: reload
[03-13 11:49:13] User: 1mperfect | Command: randomowcharacter
[03-13 11:50:59] User: 1mperfect | Command: reload
[03-13 11:51:09] User: 1mperfect | Command: randomowcharacter
[03-13 11:52:47] User: 1mperfect | Command: reload
[03-13 11:52:53] User: 1mperfect | Command: randomowcharacter
[03-13 12:00:24] User: 1mperfect | Command: randomowcharacter
[03-13 12:00:34] User: 1mperfect | Command: randomrolequeue
[03-13 12:01:02] User: 1mperfect | Command: randomowcharacter
[03-13 12:01:11] User: 1mperfect | Command: randomowcharacter
[03-13 12:01:20] User: 1mperfect | Command: randomowcharacter
[03-13 12:10:58] User: 1mperfect | Command: randomrolequeue
[03-13 12:15:59] User: 1mperfect | Command: reload
[03-13 12:34:20] User: 1mperfect | Command: reload
[03-13 12:34:24] User: 1mperfect | Command: help
[03-13 12:34:56] User: 1mperfect | Command: load
[03-13 12:35:03] User: 1mperfect | Command: unload
[03-13 12:35:07] User: 1mperfect | Command: load
[03-13 12:35:10] User: 1mperfect | Command: help
[03-13 12:35:30] User: 1mperfect | Command: help
[03-13 12:35:49] User: 1mperfect | Command: reload
[03-13 12:36:00] User: 1mperfect | Command: help
[03-13 14:11:55] User: 1mperfect | Command: help
[03-13 14:16:38] User: 1mperfect | Command: help
[03-13 14:17:10] User: 1mperfect | Command: help
[03-13 14:17:14] User: 1mperfect | Command: playlistrandom
[03-13 14:18:02] User: 1mperfect | Command: playlistrandom
[03-13 14:22:18] User: 1mperfect | Command: reload
[03-13 14:22:21] User: 1mperfect | Command: playlistrandom
[03-13 14:22:39] User: 1mperfect | Command: playlistrandom
[03-13 14:26:13] User: 1mperfect | Command: reload
[03-13 14:26:18] User: 1mperfect | Command: playlistrandom
[03-13 14:26:25] User: 1mperfect | Command: playlistrandom
[03-13 14:28:37] User: 1mperfect | Command: reload
[03-13 14:28:40] User: 1mperfect | Command: playlistrandom
[03-13 14:29:24] User: 1mperfect | Command: playlistrandom
[03-13 14:32:11] User: 1mperfect | Command: reload
[03-13 14:32:15] User: 1mperfect | Command: playlistrandom
[03-13 14:32:43] User: 1mperfect | Command: playlistrandom
[03-13 14:40:40] User: 1mperfect | Command: playlistrandom
[03-13 14:41:59] User: 1mperfect | Command: reload
[03-13 14:42:06] User: 1mperfect | Command: playlistrandom
[03-13 14:45:14] User: 1mperfect | Command: reload
[03-13 14:45:16] User: 1mperfect | Command: playlistrandom
[03-13 14:46:01] User: 1mperfect | Command: reload
[03-13 14:46:09] User: 1mperfect | Command: playlistrandom
[03-13 14:46:20] User: 1mperfect | Command: playlistrandom
[03-13 14:52:22] User: 1mperfect | Command: reload
[03-13 14:52:26] User: 1mperfect | Command: playlistrandom
[03-13 14:52:47] User: 1mperfect | Command: playlistrandom
[03-13 14:53:28] User: 1mperfect | Command: playlistrandom
[03-13 14:54:18] User: 1mperfect | Command: botinfo
[03-13 18:40:10] User: 1mperfect | Command: playlistrandom
[03-13 18:55:43] User: 1mperfect | Command: reload
[03-13 18:55:46] User: 1mperfect | Command: playlistrandom
[03-13 18:56:14] User: 1mperfect | Command: playlistrandom
[03-13 18:56:25] User: 1mperfect | Command: playlistrandom
[03-13 18:56:51] User: 1mperfect | Command: botinfo
[03-13 18:56:55] User: 1mperfect | Command: playlistrandom
[03-13 18:57:10] User: 1mperfect | Command: playlistrandom
[03-13 19:04:11] User: 1mperfect | Command: playlistrandom
[03-13 19:04:35] User: 1mperfect | Command: playlistrandom
[03-13 19:04:54] User: 1mperfect | Command: playlistrandom
[03-13 19:05:05] User: 1mperfect | Command: playlistrandom
[03-13 19:05:25] User: 1mperfect | Command: playlistrandom
